Winner,0O_EPA/play,0O_Success Rate (SR),0O_Dropback EPA,0O_Dropback SR,0O_Rush EPA,0O_Rush SR,0D_EPA/play,0D_Success Rate (SR),0D_Dropback EPA,0D_Dropback SR,0D_Rush EPA,0D_Rush SR,1O_EPA/play,1O_Success Rate (SR),1O_Dropback EPA,1O_Dropback SR,1O_Rush EPA,1O_Rush SR,1D_EPA/play,1D_Success Rate (SR),1D_Dropback EPA,1D_Dropback SR,1D_Rush EPA,1D_Rush SR
1,-0.0003,0.392,0,0.425,-0.001,0.333,-0.0005,0.406,0,0.416,-0.0014,0.389,-0.0007,0.402,-0.0003,0.412,-0.0014,0.383,0,0.441,0.0002,0.46,-0.0002,0.415
1,0,0.419,-0.0004,0.42,0,0.418,0.0015,0.506,0.002,0.503,0.0009,0.509,-0.0008,0.425,0,0.461,-0.0018,0.362,0.0008,0.46,0.0018,0.493,-0.0004,0.416
1,0.0015,0.496,0.0026,0.536,0.0002,0.448,-0.0004,0.424,-0.0001,0.453,-0.001,0.361,-0.0008,0.411,-0.0007,0.429,-0.0011,0.38,0.0007,0.46,0.0017,0.492,-0.0006,0.418
1,0.0004,0.484,0.0008,0.493,-0.0001,0.473,0.0004,0.454,0.001,0.463,0,0.44,0,0.443,0.0008,0.485,-0.0024,0.377,-0.0002,0.431,0.0002,0.464,0,0.377
0,-0.0003,0.392,0,0.425,-0.001,0.333,-0.0005,0.406,0,0.416,-0.0014,0.389,-0.0002,0.407,0.0005,0.438,-0.0012,0.369,-0.0001,0.447,0.0002,0.47,-0.0008,0.409
0,0.0011,0.452,0.0016,0.477,0.0005,0.428,-0.0008,0.399,-0.0002,0.415,-0.0019,0.371,0.0019,0.494,0.0032,0.525,0.0005,0.46,-0.0001,0.405,0,0.447,-0.0017,0.315
0,-0.072,0.402,-0.036,0.412,-0.142,0.383,0.002,0.441,0.024,0.46,-0.025,0.415,0.186,0.478,0.298,0.5,0.029,0.448,-0.004,0.444,0.094,0.486,-0.163,0.377
1,-0.131,0.41,-0.058,0.448,-0.283,0.331,0.016,0.434,0.088,0.474,-0.098,0.372,0.038,0.463,0.135,0.508,-0.119,0.389,-0.091,0.413,-0.035,0.44,-0.203,0.358
0,0.081,0.448,0.182,0.475,-0.03,0.419,-0.066,0.447,-0.023,0.49,-0.137,0.375,-0.179,0.371,-0.196,0.375,-0.14,0.361,0.018,0.414,0.097,0.442,-0.091,0.376
0,0.133,0.494,0.211,0.526,0.012,0.444,0.017,0.451,0.094,0.489,-0.145,0.373,0.108,0.481,0.193,0.529,-0.081,0.374,0.054,0.463,0.087,0.47,0,0.452
